,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPANXA2,2.341482681,4.351821759,0.63620948,6.84023407,7.91E-12,1.34E-10
GAGE12D,10.26094228,4.296768714,0.796619698,5.393751527,6.90E-08,5.43E-07
SPANXC,2.42992757,4.172454087,0.524364598,7.957162058,1.76E-15,5.73E-14
GAGE2B,1.522606229,4.056977805,1.412767713,2.871652407,0.004083318,0.009815902
FAM9C,1.694494082,3.374502566,0.297924682,11.32669688,9.68E-30,1.32E-27
PNMT,165.0005957,3.309590338,0.179623726,18.42512913,8.26E-76,5.91E-73
GAGE4,4.453784715,3.305694503,0.670900608,4.927249231,8.34E-07,5.10E-06
KRT20,3.543893993,3.041491504,0.435998241,6.97592609,3.04E-12,5.61E-11
TBX10,8.679645545,2.990928302,0.398739671,7.500954934,6.34E-14,1.59E-12
GAGE2D,4.090910669,2.934449976,0.760269035,3.859752061,0.000113502,0.000412149
FGG,31.9041074,2.931852093,0.316446547,9.264920481,1.95E-20,1.20E-18
LIN28A,12.02359083,2.874569866,0.373852672,7.689044599,1.48E-14,4.15E-13
TCAP,17.0843086,2.856508407,0.121774585,23.4573446,1.11E-121,1.29E-118
ERBB2,18302.59749,2.845038629,0.077683811,36.62331449,1.22E-293,2.26E-289
ZG16,2.510272312,2.758546288,0.290172173,9.506584531,1.97E-21,1.34E-19
GRB7,1309.927154,2.63512534,0.078262618,33.67029396,1.57E-248,5.85E-245
MYT1L,1.289049629,2.633897672,0.296762164,8.875449756,6.97E-19,3.51E-17
NEUROD2,0.945331004,2.588525916,0.289318192,8.94698635,3.65E-19,1.90E-17
COX7B2,1.662357021,2.52490596,0.651419994,3.876003171,0.000106186,0.000388542
XAGE1D,27.24380702,2.514729181,0.529496423,4.749284547,2.04E-06,1.14E-05
PPP1R1B,3456.251582,2.504636008,0.159797831,15.6737797,2.29E-55,1.25E-52
GAGE1,1.973738943,2.457254415,1.123550908,2.187043237,0.028739368,0.053997727
GAGE12J,1.436144208,2.445545343,0.88800269,2.753984161,0.005887462,0.01358572
FGB,62.86829689,2.435202858,0.304914994,7.98649756,1.39E-15,4.65E-14
C17orf37,1972.659918,2.433373929,0.070818226,34.3608426,9.70E-259,4.51E-255
DLK1,79.77451392,2.419666306,0.328680785,7.361751632,1.82E-13,4.23E-12
GAGE2A,0.821790583,2.397482396,0.828873739,2.892457902,0.003822404,0.009264125
NAA11,1.184535894,2.346253355,0.892574311,2.628636437,0.008572796,0.01885592
KRT24,3.589756954,2.335921316,0.338175848,6.90741615,4.94E-12,8.71E-11
GSDMB,197.9798381,2.320687585,0.094823054,24.47387502,2.80E-132,3.72E-129
EDDM3A,1.08625601,2.297652703,0.263173812,8.730552198,2.53E-18,1.20E-16
PGAP3,1929.690251,2.29149236,0.071147021,32.20784679,1.37E-227,4.25E-224
MAGEC1,5.512787305,2.229527566,0.24661557,9.040497979,1.56E-19,8.43E-18
PAGE5,1.650498103,2.212133796,0.443950095,4.982843394,6.27E-07,3.94E-06
MAGEA2,19.57313631,2.198920531,0.526748316,4.174518391,2.99E-05,0.000125485
ADAM2,1.796981054,2.198919455,0.509898932,4.312461382,1.61E-05,7.23E-05
FRG2DP,0.620730617,2.195884061,0.58623351,3.745749813,0.000179856,0.000621888
STARD3,1703.228614,2.192924015,0.062690459,34.98018774,4.50E-268,2.79E-264
CHRNA9,13.34994912,2.172000678,0.219893031,9.877533046,5.21E-23,4.19E-21
KRTAP4-1,0.621375482,2.167494425,0.476189922,4.551743589,5.32E-06,2.69E-05
SSX2,2.65629492,2.149589458,0.717494911,2.995964746,0.002735781,0.006903105
TEX19,7.232344763,2.13934549,0.143850702,14.87198507,5.01E-50,2.17E-47
MAGEA12,18.81102109,2.114780277,0.432399922,4.89079708,1.00E-06,6.02E-06
FGA,9.814783218,2.108502544,0.372688058,5.657553284,1.54E-08,1.38E-07
TMSB4Y,0.275583296,2.100960564,1.594646758,1.317508441,0.187668254,0.267507806
SLC28A2,0.43020048,2.0823866,0.409912651,5.080074,3.77E-07,2.52E-06
FBXO47,0.378308557,2.073634504,0.405216138,5.117354199,3.10E-07,2.11E-06
ORMDL3,3982.237055,2.072213039,0.066008536,31.39310689,2.51E-216,6.68E-213
PSMD3,5074.459203,2.057963102,0.057728127,35.64922672,2.42E-278,2.25E-274
B4GALNT2,23.46664531,2.056692987,0.197625846,10.40700409,2.30E-25,2.29E-23
USP9Y,0.353015531,2.023578569,0.786508921,2.572861561,0.010086154,0.021770034
LOC100133469,4.062334977,2.022513288,0.468317274,4.318681801,1.57E-05,7.06E-05
CHGA,128.4287085,2.008740679,0.325804624,6.165476269,7.03E-10,8.27E-09
EZHIP,2.090447222,2.00594361,0.325183371,6.168653712,6.89E-10,8.11E-09
TSPAN8,84.16449438,1.967229178,0.208617985,9.429815854,4.11E-21,2.70E-19
LHX1,4.73673683,1.961140824,0.339810615,5.771275929,7.87E-09,7.50E-08
NCRNA00200,0.888357524,1.960104077,0.509819492,3.844702114,0.000120699,0.000435307
SSX1,3.416019339,1.957439517,0.641041731,3.053529,0.002261669,0.005843141
IAPP,0.325395531,1.92259338,1.047040552,1.836216732,0.066325609,0.110814769
NEUROD4,0.504586066,1.881353526,0.75777037,2.482748866,0.013037296,0.027241959
ABCC2,34.02610277,1.863920952,0.133780167,13.9327151,4.01E-44,1.31E-41
MED1,2543.443005,1.837038961,0.059858521,30.68968172,7.82E-207,1.82E-203
C2orf54,361.769703,1.803024366,0.161537616,11.16163782,6.28E-29,8.23E-27
DMRTC2,4.757832874,1.794074732,0.261270455,6.866734047,6.57E-12,1.13E-10
FAM25A,11.30338234,1.765541374,0.287358076,6.144046473,8.04E-10,9.39E-09
RTL1,0.75716279,1.755982485,0.369175679,4.756495584,1.97E-06,1.10E-05
ONECUT1,0.446881794,1.74144319,0.362105683,4.809212542,1.52E-06,8.73E-06
CA10,2.324206726,1.730353007,0.36871891,4.692878395,2.69E-06,1.46E-05
TTTY15,0.326756062,1.726953237,1.090822722,1.583165809,0.113383677,0.174933473
PABPC1L2A,0.40826034,1.724274796,0.614606443,2.805494176,0.005023949,0.011801014
